question_no,main_subject,sub_subject,question,optiona,optionb,optionc,optiond,correct_answer,difficulty,year,typeofpaper
1,Physics,Electrostatics,The electrostatic potential V = V(r) between two charged concentric spheres of radii r1 and r2 kept at potentials V1 = 2V and V2 = 0 volts respectively is given by the solution of Laplace equation. The radius of the spherical surface where the electrostatic potential reduces to V volts is:,r1r2/(r1+r2),2r1r2/(r1+r2),(r1^2+r2^2)/(r1+r2),r2^2/(r1+r2),2r1r2/(r1+r2),Hard,2020,ScientistEngineer SC Electronics
2,Mathematics,Differential Equations,The general solution of the differential equation d²y/dx² + y = x e^x is:,c₁ cos x + c₂ sin x + (e^x/2)(x + 1),c₁ cos x + c₂ sin x + e^x,c₁ cos x + c₂ sin x + (e^x/2)(x − 1),c₁ cos x + c₂ sin x + (e^x/2),c₁ cos x + c₂ sin x + (e^x/2)(x + 1),Medium,2020,ScientistEngineer SC Electronics
3,Mathematics,Linear Algebra,The determinant and trace of the matrix A are −612 and 97 respectively. Find the value of a + b.,17,18,36,34,34,Medium,2020,ScientistEngineer SC Electronics
4,Mathematics,Linear Algebra,Consider the following system of linear equations. The value of a for which the system has infinite solutions is:,4,10,6,12,6,Medium,2020,ScientistEngineer SC Electronics
5,Mathematics,Linear Algebra,Which one of the following statements is NOT true for a real symmetric square matrix M?,Eigenvalues of M are always positive,Eigenvalues of M are always real,Eigenvalues of M and M² are always same,Eigenvectors of distinct eigenvalues of M are orthogonal,Eigenvalues of M are always positive,Easy,2020,ScientistEngineer SC Electronics
6,Mathematics,Vector Calculus,Evaluate the line integral of the vector field F = zi + xj + yk over a helix of radius a and pitch 2πa.,aπ,(2aπ + 1)z,4a²,3a²,4a²,Hard,2020,ScientistEngineer SC Electronics
7,Mathematics,Limits,"Find constants (a, b, c) such that lim(x→0) [ae^x + b cos x − ce^x] / (x sin x) = 2.","(1, −2, −1)","(2, 1, −1)","(−1, 1, 2)","(1, −2, 1)","(1, −2, −1)",Medium,2020,ScientistEngineer SC Electronics
8,Mathematics,Vector Calculus,Find ∇ × A where A = √(x² + y² + z² − 2xyz).,x + y + z,0,xyz,x + y + z − xyz,0,Medium,2020,ScientistEngineer SC Electronics
9,Mathematics,Complex Analysis,Find the analytic function f(z) whose real part is e^(−x)(x sin y − y cos y).,c + i e^z,c − e^z,c + i e^(−z),c − 2i e^(−z),c + i e^(−z),Hard,2020,ScientistEngineer SC Electronics
10,Mathematics,Probability,"A rod has length L = (50 + x) cm, where x has PDF f(x)=1.5(x² − x), −1 < x < 1. Find a such that length lies between 50 ± a.",0.92,0.98,0.99,0.95,0.98,Medium,2020,ScientistEngineer SC Electronics
11,Mathematics,Probability,"If the number of trains per hour follows a Poisson distribution with mean 5, find the probability of observing 2 or fewer trains.",19e^−5,37e^−5,18.5e^−5,9.5e^−5,18.5e^−5,Medium,2020,ScientistEngineer SC Electronics
12,Electrical,Circuit Analysis,"In the given switching circuit, the switch changes position at t = 0 s and t = 5 s. Find the expression for current i(t) for t > 5 s.",−20 + (30 − i)e^(−0.05(t − 5)),−20(1 − e^(−0.2(t − 5))),−20(1 − e^(−t)),−20 + (30 − i)e^(−0.01(t − 5)),−20(1 − e^(−0.2(t − 5))),Hard,2020,ScientistEngineer SC Electronics
13,Electrical,AC Circuits,Find the steady-state voltage across the capacitor in the given circuit excited by sinusoidal input.,cos(20t),−4√2 cos(20t),−4√2 sin(20t),3 sin(20t),−4√2 cos(20t),Medium,2020,ScientistEngineer SC Electronics
14,Electrical,Magnetic Circuits,Two coils are magnetically coupled such that 80% of the flux generated from one coil links with the other. Find the mutual inductance.,0.8 H,1.6 H,3.2 H,6.4 H,1.6 H,Easy,2020,ScientistEngineer SC Electronics
15,Electrical,Network Theory,Find the Y-parameter matrix of the given two-port network.,[0.4 0; −0.2 0.5],[0.4 −0.2; 0 0.5],[0.4 0; 0 0.5],[0 0.5; −0.2 0.4],[0.4 −0.2; 0 0.5],Hard,2020,ScientistEngineer SC Electronics
16,Computer Science,Graph Theory,Determine the number of spanning trees in the given graph.,16,8,32,4,16,Easy,2020,ScientistEngineer SC Electronics
17,Electrical,Network Theory,Find the driving point admittance of the given bridged T-network.,(2s² + 5s + 2)/(s² + 5s + 1),(2s² + 5s + 1)/(s² + 5s + 1),(s² + 5s + 1)/(2s² + 5s + 2),(2s² + 5s − 1)/(s² + 5s + 1),(2s² + 5s + 2)/(s² + 5s + 1),Hard,2020,ScientistEngineer SC Electronics
18,Control Systems,Signal Flow,Find the transfer function of the system using the signal flow graph.,6/(s² − 25s + 7),6/(s² − 75s + 25),6/(s² + 25s + 7),6/(s² + 75s + 25),6/(s² + 25s + 7),Medium,2020,ScientistEngineer SC Electronics
19,Control Systems,Time Response,The frequency response of a system is H(f) = 1/(1 + j2πf). Find the step response.,(1 − e^(−t))u(t),2(1 − e^(−t))u(t),2e^(−t),2(1 − e^(−t/2))u(t),(1 − e^(−t))u(t),Medium,2020,ScientistEngineer SC Electronics
20,Control Systems,Stability,The characteristic equation of a system is s³ + 4s² + Ks + 12 = 0. Determine the range of K for stability.,K > 12,K > 3,4 < K < 12,K < 12,4 < K < 12,Medium,2020,ScientistEngineer SC Electronics
21,Control Systems,Stability,"Consider a closed loop system whose open loop transfer function is G(s)H(s) = K/((T1s + 1)(T2s + 1)). For the system to be stable, which of the following condition is TRUE?","All positive values of K, T1 and T2",Positive value of K and negative values of T1 and T2,Negative value of K and positive values of T1 and T2,"All negative values of K, T1 and T2","All positive values of K, T1 and T2",Easy,2020,ScientistEngineer SC Electronics
22,Control Systems,Frequency Response,"For a system with integral control H(s) = K/s, the value of K when the closed loop resonance peak is 2/√3 is:",4√3,2√3,2/√3,1/√3,2√3,Medium,2020,ScientistEngineer SC Electronics
23,Control Systems,Error,"A control system with PD controller is shown. If the ramp error constant is 100, the value of Ki is:",5,20,10,40,10,Medium,2020,ScientistEngineer SC Electronics
24,Control Systems,State Space,"If A = [[0, 1], [0, 0]], the state transition matrix e^{At} is:","[[1, t], [0, 1]]","[[e^t, 0], [0, e^t]]","[[0, e^t], [0, 0]]","[[t, 1], [0, 1]]","[[1, t], [0, 1]]",Medium,2020,ScientistEngineer SC Electronics
25,Electronics,Semiconductors,"A silicon bar is doped with phosphorus with donor concentration Nd = 10¹⁰ cm⁻³. If intrinsic carrier concentration at T = 300 K is ni = 1.5×10¹⁰ cm⁻³, assuming complete impurity ionization, the equilibrium electron concentration n and hole concentration p are:",n = 10¹⁰ cm⁻³ and p = 5.5×10¹⁰ cm⁻³,n = 10¹⁰ cm⁻³ and p = 2.25×10¹⁰ cm⁻³,n = 10⁸ cm⁻³ and p = 2.25×10¹² cm⁻³,n = 2.25×10¹⁰ cm⁻³ and p = 10¹⁰ cm⁻³,n = 10¹⁰ cm⁻³ and p = 2.25×10¹⁰ cm⁻³,Medium,2020,ScientistEngineer SC Electronics
26,Electronics,PN Junction,"Consider an abrupt p-n junction diode with built-in potential of 0.7 V. If its junction capacitance Cj is 4 pF at a reverse bias of 1.3 V, then the value of Cj when reverse bias is 7.3 V is:",4 pF,2 pF,1 pF,8 pF,2 pF,Easy,2020,ScientistEngineer SC Electronics
27,Electronics,MOSFET,"Consider an enhancement type N-channel MOSFET with μn = 650 cm²/V·s, Cox = 6.9×10⁻⁸ F/cm², Vth = 0.65 V and L = 1.25 μm. If it is operating in saturation with VDS = 5 V and ID = 4 mA, the channel width W of the MOSFET is:",11.8 μm,23.6 μm,5.9 μm,51.33 μm,23.6 μm,Medium,2020,ScientistEngineer SC Electronics
28,Electronics,Diode Circuits,Consider the following circuit with R1 = R2 = 10 Ω. The input voltage is a 20 V square wave of period 10 ms and the diode is ideal. The average value of load voltage is:,5 V,10 V,2.5 V,20 V,10 V,Easy,2020,ScientistEngineer SC Electronics
29,Electronics,BJT,"If in the circuit shown, VBE = 0.75 V, then VCE is:",3.85 V,7.7 V,1.42 V,2.85 V,3.85 V,Medium,2020,ScientistEngineer SC Electronics
30,Electronics,JFET,"The n-channel JFET circuit is self-biased. If RD = 3 kΩ, RS = 1 kΩ, VDD = 14 V and VDS at quiescent point is 6 V, assuming negligible gate leakage current, the VGS at quiescent point is:",−8 V,−1 V,−2 V,−4 V,−2 V,Medium,2020,ScientistEngineer SC Electronics
31,Electronics,Amplifiers,"Consider the following amplifier circuit with transistor parameter VBE = 0.726 V, β = 99. If VT = 26 mV, the corner frequency fc of the amplifier is:",15.7/π Hz,31.4/π Hz,31.25/π Hz,62.5/π Hz,31.4/π Hz,Medium,2020,ScientistEngineer SC Electronics
32,Electronics,Op-Amp,Consider the following ideal op-amp circuit with R1 = 10 kΩ and R2 = 20 kΩ. The voltage gain Vo/Vi is:,1,2,4,8,2,Easy,2020,ScientistEngineer SC Electronics
33,Electronics,Amplifiers,"For a class A amplifier, the ratio of efficiency of transformer coupled amplifier to transformerless amplifier is:",1,2,0.5,3,2,Easy,2020,ScientistEngineer SC Electronics
34,Digital Electronics,Number Systems,"For the addition operation 24 + 14 = 42 to be TRUE, the base of the number system is:",7,8,9,6,8,Easy,2020,ScientistEngineer SC Electronics
35,Digital Electronics,Logic Gates,A CMOS implementation of a logic gate is shown in the figure with A and B as inputs and Y as output. The Boolean logic function realized by the circuit is:,AND,NAND,NOR,OR,NAND,Easy,2020,ScientistEngineer SC Electronics
36,Digital Electronics,Memory,A 4 kb memory is arranged as a square array with equal number of rows and columns. The minimum number of address lines for the column decoder is:,6,7,8,10,6,Medium,2020,ScientistEngineer SC Electronics
37,Digital Electronics,Memory,"A 4K × 8 bit RAM is interfaced to an 8-bit microprocessor. If the starting address is 4000H, the last address is:",0FFFH,47FFH,4FFFH,8000H,4FFFH,Medium,2020,ScientistEngineer SC Electronics
38,Communication,Information Theory,"A communication channel has bandwidth 3 kHz and SNR 15. If SNR reduces to 7 and bandwidth increases to 4 kHz, the channel capacity will:",Remain same,Decrease by 1 kbps,Increase by 1 kbps,Decrease by 17 kbps,Remain same,Medium,2020,ScientistEngineer SC Electronics
39,Communication,Digital Modulation,A communication system has data rate 2000 kbps using 8-PSK and coding rate 5/6. The symbol rate is:,6000 ksps,5000 ksps,800 ksps,666 ksps,5000 ksps,Medium,2020,ScientistEngineer SC Electronics
40,Communication,Optical,"For an optical fiber using GaAs LED with coupling efficiency 0.08, the optical loss is:",8 dB,11 dB,29 dB,20 dB,11 dB,Easy,2020,ScientistEngineer SC Electronics
41,DSP,FFT,The number of complex multiplications required for 16-point DFT using direct computation and FFT respectively are:,"256, 32","1024, 128","16, 4","64, 16","256, 32",Medium,2020,ScientistEngineer SC Electronics
42,DSP,DFT,"If X(k) is the DFT of sequence x[n] = x1[n] + jx2[n], then the DFT of x1[n] is:",(X[k] + X*[N−k])/2,(X*[k] − X[N−k])/2,(X[k] + X[N−k])/2,(X[k] − X*[N−k])/2,(X[k] + X*[N−k])/2,Hard,2020,ScientistEngineer SC Electronics
43,DSP,Filters,"The bit growth in a CIC interpolation filter with interpolation factor 128, 4 stages and differential delay 2 is:",64,16,32,4,32,Medium,2020,ScientistEngineer SC Electronics
44,VLSI,Pass Transistor,"In a pass transistor circuit with VDD = 1 V and threshold voltage 0.2 V, the output voltage is:",0.6 V,0.8 V,1 V,1.2 V,0.8 V,Medium,2020,ScientistEngineer SC Electronics
45,VLSI,CMOS,A CMOS IC consumes 155 mW at 10 MHz and 200 mW at 25 MHz. The static power consumption is:,120 mW,200 mW,125 mW,225 mW,120 mW,Medium,2020,ScientistEngineer SC Electronics
46,VLSI,MOSFET,"If n identical MOSFETs with same W/L are connected in series, the equivalent W/L is:",(W/L)×n,(W/L)/n,(W/L)×n²,(W/L)/n²,(W/L)/n,Easy,2020,ScientistEngineer SC Electronics
47,Microcontroller,8051,Which operation takes minimum clock cycles in 8051?,b=a*a,b=a*5,b=a/5,b=a/8,b=a/8,Easy,2020,ScientistEngineer SC Electronics
48,Digital Electronics,FPGA,Which FPGA resource implements combinational logic functionality?,Block RAM,CLB,Routing matrix,All of above,CLB,Easy,2020,ScientistEngineer SC Electronics
49,Computer Organization,Memory,"A system has L1, L2 and main memory access times 1, 10 and 100 cycles respectively. L1 miss rate = 5%, L2 miss rate = 20%. The average memory access time (AMAT) is:",2.5 cycles,5 cycles,7.5 cycles,1 cycle,2.5 cycles,Medium,2020,ScientistEngineer SC Electronics
50,Computer Organization,Performance,"A multicycle processor executes instructions: branches (3 cycles), R/I type (4 cycles), load/store (5 cycles). Given instruction mix, the CPI is:",4.1,4.14,2.14,2.4,4.14,Medium,2020,ScientistEngineer SC Electronics
51,Mathematics,Differential Equations,Solve the initial value problem 3x²y dx + 2x³ dy = 0 with y(1)=3.,y=3/x^(3/2),x³y²=9,x³y²=19,x³y²=3,x³y²=9,Hard,2020,ScientistEngineer SC Mechanical
52,Mathematics,Differential Equations,"Given y'' + ay' + by = 0 with a = 2√b, find basis of solution.","e^(−ax/2), xe^(−ax/2)","e^(ax), e^(−ax)",c1e^(−ax/2)+c2e^(ax/2),"e^(−ax/2), e^(ax/2)","e^(−ax/2), xe^(−ax/2)",Medium,2020,ScientistEngineer SC Mechanical
53,Mathematics,Linear Algebra,Find inverse of given 2×2 matrix.,Opt1,Opt2,Opt3,Opt4,Correct inverse (Option A),Medium,2020,ScientistEngineer SC Mechanical
54,Mathematics,Continuity,Find b such that function is continuous at x = −1.,-1,0,1,1/2,1,Easy,2020,ScientistEngineer SC Mechanical
55,Mathematics,Laplace Transform,"Given L{f(t)} = 1/(s(s²+ω²)), find f(t).",ω²(1−cosωt),ω²(1+cosωt),(1−sinωt)/ω,(1−cosωt)/ω²,(1−cosωt)/ω²,Medium,2020,ScientistEngineer SC Mechanical
56,Mechanical,Power,"Punching press delivers 20 kN-m energy, 900 strokes/hr. Find motor power.",20kW,5kW,2.7kW,3.1kW,2.7kW,Medium,2020,ScientistEngineer SC Mechanical
57,Mathematics,Vector Calculus,"Curl of gradient of scalar potential φ(x,y).",Maximum,Minimum,Zero,Not defined,Zero,Easy,2020,ScientistEngineer SC Mechanical
58,Mathematics,PDE,Classify PDE Uxx + 2Uxy + Uyy = F.,Elliptic,Parabolic,Hyperbolic,Trigonometric,Parabolic,Medium,2020,ScientistEngineer SC Mechanical
