question_no,main_subject,sub_subject,question,optiona,optionb,optionc,optiond,correct_answer,difficulty,year,typeofpaper
134,Physics,Electrostatics,Hydrogen atom model with charge density p(r). Electric field at r=a is,ExprA,ExprB,ExprC,ExprD,ExprA,Hard,2020,ScientistEngineer SC Physics
135,Mathematics,Linear Algebra,Matrix with equal eigenvalues. Find x.,100,50,25,10,50,Medium,2020,ScientistEngineer SC Physics
136,Physics,Solid State,"In 2D metals with density ratio 1:2, Fermi energy ratio is",2:3,1:2,1:4,1:8,1:4,Medium,2020,ScientistEngineer SC Physics
137,Physics,Mechanics,"For Lagrangian L, corresponding Hamiltonian is",Not defined,0,−qsin²q,Expression,Expression,Hard,2020,ScientistEngineer SC Physics
138,Physics,Quantum Mechanics,Bound state energy in delta potential V(x)=−aδ(x) is,−(am/2ħ²),−(am/ħ²),−(a²m/2ħ²),−(a²m/ħ²),−(a²m/2ħ²),Hard,2020,ScientistEngineer SC Physics
139,Mathematics,Limits,Evaluate lim (ln(1+sinθ)/sinθ) as θ→0,∞,1,−∞,0,1,Easy,2020,ScientistEngineer SC Physics
140,Physics,Quantum Mechanics,Most probable radius in hydrogen second excited state is,4a,2a,8a,5a,4a,Medium,2020,ScientistEngineer SC Physics
141,Physics,Quantum Mechanics,"For two nucleon singlet state, (σ1·σ2) value is",2,3,−3,−2,−3,Medium,2020,ScientistEngineer SC Physics
142,Physics,Lagrangian Mechanics,Adding total derivative to Lagrangian affects equations of motion as,No change,Momentum conserved,Energy change,None,No change,Medium,2020,ScientistEngineer SC Physics
143,Physics,Statistical Mechanics,Three spins system probability and magnetic moment,OptA,OptB,OptC,OptD,OptB,Hard,2020,ScientistEngineer SC Physics
144,Physics,Solid State,Structure factor for given Bravais lattice is,3,2,4,6,4,Medium,2020,ScientistEngineer SC Physics
145,Physics,EM Theory,Lowest non-zero power of ω in induced emf expansion is,1,3,4,2,2,Medium,2020,ScientistEngineer SC Physics
146,Physics,Statistical Mechanics,Energy distribution maximum occurs at E/kT value,0.1,0.2,0.3,0.5,0.5,Medium,2020,ScientistEngineer SC Physics
147,Mathematics,Matrices,Matrix not representing proper rotation is,A,B,C,D,D,Medium,2020,ScientistEngineer SC Physics
148,Mathematics,Linear Algebra,Product of eigenvalues of matrix is,−1,1,0,2,1,Easy,2020,ScientistEngineer SC Physics
149,Physics,Quantum Mechanics,Ground state wavefunction in given potential is,sin,sin,cos,cos,sin,Medium,2020,ScientistEngineer SC Physics
150,Physics,Linear Algebra,Rotation axis vector for given matrix is,OptA,OptB,OptC,OptD,OptB,Medium,2020,ScientistEngineer SC Physics
151,Physics,Particle Physics,A massive particle X in free space decays spontaneously into two photons. Which of the following statements is true for X?,X is charged,Spin of X must be greater than or equal to 2,X is a boson,X must be a baryon,X is a boson,Medium,2020,ScientistEngineer SC Physics
152,Physics,EM Waves,The electric field of an electromagnetic wave is given by E = 3 sin(kz − ωt) x̂ + 4 cos(kz − ωt) ŷ. The wave is,Linearly polarized at angle tan⁻¹(4/3),Linearly polarized at angle tan⁻¹(3/4),Elliptically polarized clockwise,Elliptically polarized counter-clockwise,Elliptically polarized (counter-clockwise),Medium,2020,ScientistEngineer SC Physics
153,Physics,Statistical Mechanics,"Consider two systems A and B each having two distinguishable particles. Each particle can exist in states with energies 0,1,2,3 units. Total energy of system is 5 units. If A has energy 3 and B has energy 2, entropy = k_B ln A. Find A.",15,18,12,16,18,Hard,2020,ScientistEngineer SC Physics
154,Physics,Electromagnetism,An infinitely long solenoid with N turns per unit length and radius R carries current I(t)=a cos(ωt). The magnitude of electric field at the surface of the solenoid is proportional to,μ0NRωa sin(ωt),μ0NRωa cos(ωt),NRωa sin(ωt),NRωa cos(ωt),NRωa sin(ωt),Medium,2020,ScientistEngineer SC Physics
155,Physics,Statistical Mechanics,Three particles are distributed in four non-degenerate energy levels. Number of ways for distinguishable particles and identical bosons respectively are,"(24,4)","(24,20)","(64,20)","(64,16)","(64,20)",Medium,2020,ScientistEngineer SC Physics
156,Physics,Solid State,Energy dispersion relation E(k)=E₀−W cos(ka). Effective mass near bottom of band is,h²/Wa²,h²/(2Wa²),h²/(4Wa²),h²/(Wa²/2),h²/(2Wa²),Hard,2020,ScientistEngineer SC Physics
157,Physics,Heat Transfer,Two spheres A and B have same emissivity. Radius of A is 4 times B and temperature is twice. Ratio of heat radiated is,128,256,324,110,256,Medium,2020,ScientistEngineer SC Physics
158,Physics,Electrostatics,Identical charges are placed at five vertices of a regular hexagon. Electric field and potential at centre are,"0,0","Non-zero,zero","Zero,non-zero","Non-zero,non-zero","0,0",Easy,2020,ScientistEngineer SC Physics
159,Physics,Thermodynamics,A reversible Carnot engine operates between temperatures T₁ and T₂ using photon gas. Efficiency is,1−T₂/T₁,1−(T₂/T₁)^(1/3),1−(T₂/T₁)^(1/4),1−(T₂/T₁)^(1/2),1−(T₂/T₁)^(1/3),Medium,2020,ScientistEngineer SC Physics
160,Physics,Nuclear Physics,"In the nuclear reaction ¹³C + ν → ¹³N + X, the particle X is",Electron,Positron,Muon,Pion,Positron,Medium,2020,ScientistEngineer SC Physics
161,Physics,Quantum Mechanics,"A particle in 1D potential well of width 3 nm. Using uncertainty principle, minimum depth required for one bound state is",1 μeV,1 meV,1 eV,1 MeV,1 eV,Medium,2020,ScientistEngineer SC Physics
162,Physics,Electromagnetism,A square loop carrying current is reshaped into a circle with same current. Ratio of magnetic dipole moments is,36,9,4,1,1,Medium,2020,ScientistEngineer SC Physics
163,Physics,Quantum Mechanics,Born approximation is valid for,High energy & weak potential,High energy & strong potential,Low energy & weak potential,Low energy & strong potential,High energy & weak potential,Medium,2020,ScientistEngineer SC Physics
164,Physics,Quantum Mechanics,"For two electrons in helium atom ground state, value of (S₁·S₂) is",−ħ²/4,−ħ²/2,0,ħ²/4,−3ħ²/4,Medium,2020,ScientistEngineer SC Physics
165,Physics,Quantum Mechanics,Hilbert space dimension for three spin-1/2 particles is,8,16,4,32,8,Easy,2020,ScientistEngineer SC Physics
166,Physics,Particle Physics,Decay μ → e + γ is forbidden due to violation of,Momentum conservation,Baryon number,Angular momentum,Lepton number,Lepton number,Medium,2020,ScientistEngineer SC Physics
167,Physics,Quantum Mechanics,"Operator A = aσ + B, eigenvalues are",±AB/√2,±AB,"0,AB","0,−AB",±AB/√2,Medium,2020,ScientistEngineer SC Physics
168,Physics,Condensed Matter,"In Bose-Einstein condensate, particles",Have strong attraction,Condense in real space,Have overlapping wavefunctions,Have large chemical potential,Have overlapping wavefunctions,Easy,2020,ScientistEngineer SC Physics
169,Physics,Solid State,Phonon dispersion relation gives ratio of phase velocity to group velocity at long wavelength as,2,1,4,1/2,1,Medium,2020,ScientistEngineer SC Physics
170,Physics,Atomic Physics,Number of permitted transitions from ²P₃/₂ to ²S₁/₂ in weak magnetic field is,6,9,3,8,6,Medium,2020,ScientistEngineer SC Physics
171,Physics,Electromagnetism,"A long solenoid is embedded in a conducting medium and insulated from it. If the current through the solenoid is increased at a constant rate, the induced current density in the medium varies with radial distance r from the axis as",∝ r² inside and 1/r outside,∝ r inside and 1/r outside,∝ r² inside and 1/r² outside,∝ r inside and 1/r² outside,Proportional to r inside and 1/r outside,Medium,2020,ScientistEngineer SC Physics
172,Physics,Spectroscopy,"Match ESR, NMR, vibrational and electronic transitions with frequency ranges (radio, microwave, infrared, visible).","P-i,Q-ii,R-iii,S-iv","P-ii,Q-i,R-iv,S-iii","P-iii,Q-iv,R-i,S-ii","P-iii,Q-i,R-iv,S-ii","P-iii,Q-iv,R-i,S-ii",Medium,2020,ScientistEngineer SC Physics
173,Physics,Optics,A plane wave (x̂ − iŷ)E₀ exp[i(kz − ωt)] passes through an optical element and becomes (x̂ − iŷ)E₀ exp[i(kz − ωt)]. The optical element is,Quarter wave plate,Half wave plate,Polarizer,Faraday rotator,Quarter wave plate,Medium,2020,ScientistEngineer SC Physics
174,Physics,Relativity,A particle of rest mass M decays into two equal mass particles moving along z-axis. Their velocities are,Both +0.8c,±0.8c,±0.6c,Mixed values,Equal and opposite velocities ±0.6c,Medium,2020,ScientistEngineer SC Physics
175,Electronics,Signal Processing,"For proper sampling of a signal, the sampling frequency should be",Equal to bandwidth,Equal to highest frequency,Greater than or equal to twice highest frequency,Less than twice highest frequency,Greater than or equal to twice the highest frequency component,Easy,2020,ScientistEngineer SC Physics
176,Mathematics,Probability,"The probability density function of a random variable X is given by f(x) = k e^{-|x|}, −∞ < x < ∞. The value of k and the mean of X are:","1, 1","1, 0","1/2, 1","1/2, 0","1/2, 0",Medium,2020,ScientistEngineer SC Computer
177,Mathematics,Linear Algebra,"Given the matrix A, Tr(A) = 0. The value of Tr(A³) + Tr(A²) is:",8,16,32,0,16,Medium,2020,ScientistEngineer SC Computer
178,Mathematics,Linear Algebra,"What is the largest possible value for the rank of A and the smallest possible value for the nullity of A, if A is a 5 × 3 matrix?","5, 3","3, 0","5, 0","5, 2","3, 0",Easy,2020,ScientistEngineer SC Computer
179,Operating Systems,Memory Management,Consider a FIFO page replacement policy based memory unit. Which of the following statements are TRUE?,Increasing the number of page frames always results in fewer page faults,Increasing the number of page frames always results in higher page faults,Decreasing the number of page frames always results in increased page faults,Increasing the number of page frames may result in increase or decrease in number of page faults,Increasing the number of page frames may result in increase or decrease in number of page faults,Medium,2020,ScientistEngineer SC Computer
180,Operating Systems,Virtual Memory,"Consider a system where each process has a virtual address space of 2^n bytes. The physical address space of the system is 2^p bytes, and the page size is 2^k bytes. What is the number of logical pages of a process and number of physical frames in the system?","2^(n−k), 2^(p−k)","2^(n+k), 2^(p+k)","2^(n−p), 2^k","2^k, 2^(n−p)","2^(n−k), 2^(p−k)",Medium,2020,ScientistEngineer SC Computer
181,Operating Systems,Memory Allocation,Consider the following line of code in a function of a process: int *y = (int *)malloc(50 * sizeof(int)); Where is the memory of the variable y allocated within the memory image of the process when this function is invoked and executed?,Heap,Stack,PCB (Process Control Block),None of these,Heap,Easy,2020,ScientistEngineer SC Computer
182,Operating Systems,Synchronization,Which of the following conditions best describes for bounded waiting in process synchronization?,"When a thread is executing in its critical section, no other threads can be executing in their critical sections","If no thread is executing in its critical section, and if there are some threads that wish to enter their critical sections, then one of these threads will get into the critical section",Several processes access and manipulate the same data concurrently,"After a thread makes a request to enter its critical section, there is a limit on the number of times that other threads are allowed to enter their critical sections before the request is granted","After a thread makes a request to enter its critical section, there is a limit on waiting",Medium,2020,ScientistEngineer SC Computer
183,Theory of Computation,Decidability,"Which of the following statements is/are TRUE? I. Given a CFG G = (N, Σ, P, S) and a string x ∈ Σ*, x ∈ L(G) is decidable II. Given CFGs G1 and G2, is L(G1) = L(G2) undecidable III. Given CFGs G1 and G2, is L(G1) = L(G2) decidable IV. Given CFG G and string x, x ∈ L(G) is undecidable",I and II,II and IV,I and III,III and IV,I and II,Hard,2020,ScientistEngineer SC Computer
184,Compiler Design,Parsing,Consider the grammar defined by production rules with two operators * and +. Which of the following correctly describes associativity?,+ is left associative and * is right associative,+ is right associative and * is left associative,Both + and * are right associative,Both + and * are left associative,Both + and * are left associative,Medium,2020,ScientistEngineer SC Computer
185,Automata,Finite Automata,"For any given transition in a finite automaton with Q states, the number of possible states for DFA and NFA respectively are:","Q, 2^Q","1, Q","2, Q","2^Q, 2^Q","Q, 2^Q",Easy,2020,ScientistEngineer SC Computer
186,Compiler Design,SDTS,"Consider the Syntax Directed Translation Scheme (SDTS): S → Aa {print1}, S → a {print2}, A → Sb {print3}. The output printed by a bottom-up parser for input aba is:",2 3 1,1 3,2 1,1 2,2 1,Medium,2020,ScientistEngineer SC Computer
187,Compiler Design,Parsing,"Among simple LR (SLR), canonical LR and look-ahead LR (LALR), which pair identifies the method that is very easy to implement and the method that is most powerful?","Canonical LR, LALR","SLR, LALR","LALR, Canonical LR","SLR, Canonical LR","SLR, Canonical LR",Medium,2020,ScientistEngineer SC Computer
188,Digital Logic,Bitwise Operations,What happens when a bit-string is XORed with itself n-times?,Complements when n is even,Remains unchanged when n is even,Divides by 2^n always,None of the above,Remains unchanged when n is even,Easy,2020,ScientistEngineer SC Computer
189,Digital Logic,Boolean Algebra,"Consider the minterm list form of a Boolean function F(P,Q,R,S) = Σm(0,2,8,9,11,10,12,13,15,14). What is the equivalent Boolean expression in sum-of-products form?",C+ABD+BD,C+BD,C+BCD,None of the above,C+BD,Medium,2020,ScientistEngineer SC Computer
190,Digital Logic,Operators,Consider the Boolean operator # with given properties. Then x # y is equivalent to:,xy + x'y',xy + y,xy + xy,xy + x'y,xy + x'y,Medium,2020,ScientistEngineer SC Computer
191,Computer Organization,Micro-operations,"Consider the following sequence of micro-operations (MBR = Memory Buffer Register, PC = Program Counter, MAR = Memory Address Register): MBR ← PC; MAR ← X; PC ← Y; Memory ← MBR. Which one of the following is a possible operation performed by this sequence?",Instruction fetch,Operand fetch,Initiation of interrupt service,Conditional branch,Instruction fetch,Medium,2020,ScientistEngineer SC Computer
192,Computer Organization,Pipelining,"Instruction execution in a processor is divided into 5 stages: Instruction Fetch (IF), Instruction Decode (ID), Operand Fetch (OF), Execute (EX), and Write Back (WB). These stages take 5, 4, 20, 10 and 3 nanoseconds respectively. A pipelined implementation requires buffering between each pair of consecutive stages with a delay of 2 ns. The execution time for 20 instructions on this pipeline is:",528 ns,288 ns,286 ns,290 ns,288 ns,Medium,2020,ScientistEngineer SC Computer
193,Computer Organization,Memory,"A processor can support a maximum memory of 8 GB, where the memory is word-addressable (a word consists of two bytes). The size of the address bus of the processor is at least:",31,16,32,None of the above,32,Medium,2020,ScientistEngineer SC Computer
194,Computer Organization,Addressing Modes,Which of the following addressing modes is best suited to access elements of an array of contiguous memory locations?,Indexed addressing mode,Relative addressing mode,Base register addressing mode,Displacement mode,Indexed addressing mode,Easy,2020,ScientistEngineer SC Computer
195,DBMS,Normalization,"Consider the schema R(S, T, U, V) and the dependencies S→T, T→U, U→V, V→S. Let R be decomposed into R1 and R2 such that R1 ∩ R2 = ∅. Then the decomposition is:",Not in 2NF,In 2NF but not in 3NF,In 3NF but not in 2NF,In both 2NF and 3NF,In 2NF but not in 3NF,Medium,2020,ScientistEngineer SC Computer
196,DBMS,File Systems,"A FAT (File Allocation Table) based file system is used and the total overhead of each entry in the FAT is 4 bytes. Given a 100 × 10^6 bytes disk and data block size is 10^3 bytes, the maximum size of a file that can be stored on this disk (in units of 10^6 bytes) is:",99.35–99.45,99.55–99.65,100.5–101.4,97.2–98.5,99.55–99.65,Medium,2020,ScientistEngineer SC Computer
197,DBMS,Transactions,Which of the following are drawbacks of the Two-Phase Locking (2-PL) mechanism? I. Deadlock II. Serializability III. Starvation IV. Cascading Rollback,II only,"I, II, III",I and IV,II and IV,I and IV,Medium,2020,ScientistEngineer SC Computer
198,DBMS,Referential Integrity,"The given table has two attributes A and C where A is the primary key and C is the foreign key referencing A with ON DELETE CASCADE. The set of tuples that must be additionally deleted to preserve referential integrity when tuple (4,3) is deleted is:","(3,4), (4,3), (6,4)","(5,2), (7,2), (9,5)","(2,4), (3,2), (7,2), (9,5), (3,4), (6,4)","(2,4), (3,4), (6,4)","(2,4), (3,4), (6,4)",Hard,2020,ScientistEngineer SC Computer
199,DBMS,Keys,"Consider the relation scheme R = {E, F, G, H, I, J, K, L, M, N} and functional dependencies {EF→G, F→IJ, EK→HLM, L→N}. What is the key for R?","{E, F}","{E, K}","{E, F, L}","{E, F, K}","{E, F, K}",Medium,2020,ScientistEngineer SC Computer
200,DBMS,Normalization,Which of the following statements are true? I. No relation can be in both BCNF and 3NF II. Every relation in BCNF is also in 3NF III. A relation is in 3NF if every non-prime attribute is fully functionally dependent on every key IV. Every relation in 3NF is also in BCNF,I and III,II,IV,I,II,Medium,2020,ScientistEngineer SC Computer
201,Computer Networks,Error Detection,The Hamming distance between the octets of 0x0A and 0x05 is:,7,5,3,4,3,Easy,2020,ScientistEngineer SC Computer
202,Computer Networks,IP Addressing,"In a class B network, the subnet mask is 255.255.240.0. What is the maximum number of hosts per subnet?",4096,2046,2048,4094,4094,Medium,2020,ScientistEngineer SC Computer
203,Computer Networks,ALOHA,A Pure ALOHA network transmits 200-bit frames on a shared channel of 200 kbps. What is the throughput if the system produces 1000 frames per second?,250 frames,150 frames,80 frames,135 frames,80 frames,Medium,2020,ScientistEngineer SC Computer
204,Computer Networks,Routing,Count-to-infinity is a problem associated with:,Link state routing protocol,TCP congestion control,Distance vector routing protocol,DNS,Distance vector routing protocol,Easy,2020,ScientistEngineer SC Computer
205,Computer Networks,ARP,ARP request and reply packets are:,Broadcast and Unicast respectively,Broadcast and Broadcast respectively,Unicast and Multicast respectively,Multicast and Broadcast respectively,Broadcast and Unicast respectively,Easy,2020,ScientistEngineer SC Computer
206,Programming,C Language,"Consider the following C program. What is the output? (global variable x, pointer manipulation and function calls)",4887,4886,1248,1246,1246,Medium,2020,ScientistEngineer SC Computer
207,Programming,C Language,Consider the following C program with function pointer initialization: void *ptr() = first;. Which of the following is TRUE?,Program runs successfully,Compile error due to assignment,Compile error due to illegal operation,Both b and c,Both b and c,Medium,2020,ScientistEngineer SC Computer
208,Programming,C Language,What does the following declaration mean? int (*f)(int *);,Function returning int pointer,Pointer to function returning int,Function returning int,Function pointer returning pointer,Pointer to function taking int* and returning int,Easy,2020,ScientistEngineer SC Computer
209,Algorithms,Asymptotic Analysis,"Given two functions f(n) and g(n), which of the following is true for h(n)=f(n)+g(n)?","Θ(max(f,g))","Ω(max(f,g))","O(max(f,g))",All of the above,All of the above,Medium,2020,ScientistEngineer SC Computer
210,Algorithms,Matrix Multiplication,"Let A1, A2, A3, A4 be matrices of dimensions 10×5, 5×20, 20×10, and 10×5 respectively. The minimum number of scalar multiplications required to compute A1×A2×A3×A4 is:",1500,2050,1550,1750,1500,Medium,2020,ScientistEngineer SC Computer
211,Algorithms,Asymptotic Analysis,Which one of the following inequalities holds asymptotically true?,log n < n log n < n,f(n) < n log n < n,log n < f(n) < n log n,log n < n! < n,log n < n log n < n,Medium,2020,ScientistEngineer SC Computer
212,Data Structures,Hashing,"A hash function h(key) = key mod 7 with linear probing is used to insert keys 44, 45, 79, 55, 91, 18, 63 into a table indexed from 0 to 6. What will be the location of key 91?",0,5,1,4,5,Medium,2020,ScientistEngineer SC Computer
213,Data Structures,Trees,Consider a complete binary tree with 7 nodes. Let A denote the set of first 3 elements obtained by BFS starting from the root. Let B denote the set of first 3 elements obtained by DFS starting from the root. The value of |A − B| is:,2,1,3,0,1,Medium,2020,ScientistEngineer SC Computer
214,Compiler Design,Symbol Table,Which of the following data structures can be used for efficiently storing the symbol table in a compiler implementation?,B+ tree,Binary Search Tree,Hash Table,Heap,Hash Table,Easy,2020,ScientistEngineer SC Computer
215,Software Engineering,COCOMO,"A company develops DSP software of 40000 LOC. Using basic COCOMO model with multiplicative factor 2.8 and exponent 1.20, the estimated effort (person-months) is:",234.25,932.50,287.80,122.40,287.80,Medium,2020,ScientistEngineer SC Computer
216,Discrete Mathematics,Functions,How many onto (surjective) functions are there from an n-element set (n ≥ 2) to a 2-element set?,2^n,2^n − 1,2^n − 2,2(2^(n−1) − 1),2(2^(n−1) − 1),Medium,2020,ScientistEngineer SC Computer
217,Machine Learning,PCA,Read the following statements about principal component analysis (PCA): A: Principal components are eigenvectors of centered data matrix. B: Principal components are right singular vectors of centered data matrix. C: Principal components are eigenvectors of covariance matrix. D: Principal components are right singular vectors of covariance matrix. Which are true?,Only A,All except A,Only B and C,Only C and D,Only B and C,Medium,2020,ScientistEngineer SC Computer
218,Machine Learning,Decision Trees,A decision tree grown to full depth is more likely to: I. Fit noise in data II. Suffer from overfitting III. Generalize well on unseen data,Only I,Both I and II,Only II,Both I and III,Both I and II,Easy,2020,ScientistEngineer SC Computer
219,Machine Learning,Regression,"Consider minimizer w* of L2-regularized least squares objective J(w)=||Xw−y||² + λ||w||², λ>0. Which of the following is true?",w* exists iff XᵀX non-singular,Xw*=y,The minimizer w* is unique,w* = X⁻y,The minimizer w* is unique,Medium,2020,ScientistEngineer SC Computer
220,Machine Learning,Classification,A multiclass classification problem with K classes can be solved using one-vs-all or softmax regression. When is softmax preferred?,Classes mutually exclusive,Classes not linearly separable,Classes not mutually exclusive,Both equal,Classes mutually exclusive,Medium,2020,ScientistEngineer SC Computer
221,Machine Learning,Neural Networks,Sigmoidal activation function suffers from which practical problem?,Does not work with entropy loss,Can have negative values,Vanishing gradient problem,Convexity issue,Vanishing gradient problem,Easy,2020,ScientistEngineer SC Computer
222,Machine Learning,CNN,Consider one layer in CNN. Which layer type has the fewest parameters to be learned?,Convolutional layer with 10 filters (3×3),Fully connected layer,Convolutional layer with 8 filters (5×5),Max pooling layer,Max pooling layer,Medium,2020,ScientistEngineer SC Computer
223,Machine Learning,Regularization,Which of the following statements on regularization are true? I. Batch normalization has implicit regularization II. L2 gives Laplacian prior III. L2 gives Gaussian prior IV. Regularization factor may cause underfitting,I and IV,"I, III and IV",I and III,IV only,"I, III and IV",Medium,2020,ScientistEngineer SC Computer
224,Machine Learning,Logistic Regression,"The logit function L(x) = log(x/(1−x)). What is the range of L(x) for x ∈ (0,1)?","(0, ∞)","(0, 1)","(−∞, ∞)","(−∞, 0)","(−∞, ∞)",Easy,2020,ScientistEngineer SC Computer
225,Machine Learning,SVM,"In a Support Vector Machine with margin fixed to 1, the distance of support vectors from separating hyperplane is:",||W||,||W + b||,1/||W||,||W||²,1/||W||,Medium,2020,ScientistEngineer SC Computer
226,Machine Learning,Ensemble,The technique that combines the predictions from multiple machine learning algorithms together to make more accurate predictions than any individual model is called:,Reinforcement learning,Transfer learning,Ensemble learning,Inductive learning,Ensemble learning,Easy,2020,ScientistEngineer SC Computer
227,Machine Learning,Neural Networks,"Consider a single unit in a neural network that receives two binary inputs x1, x2 ∈ {0,1} and computes a linear combination followed by a threshold activation function. Given bias b = −5, the weights that allow computation of NAND function are:","w1 = 0, w2 = 0","w1 = 1, w2 = 1","w1 = −1, w2 = 1","w1 = −3, w2 = −3","w1 = −3, w2 = −3",Medium,2020,ScientistEngineer SC Computer
228,Machine Learning,Neural Networks,What is the main purpose of Dropout in a neural network architecture?,Reduce output dimensions,Prevent vanishing gradient,Prevent overfitting on training data,Increase learning rate,Prevent overfitting on training data,Easy,2020,ScientistEngineer SC Computer
229,Machine Learning,CNN,Which of the following statements about using convolutional layers instead of fully connected ones for visual tasks are TRUE? A. Reduce number of hidden layers B. Enable spatial context modelling C. Translation invariant D. Parameters increase E. Enable parameter sharing,All,"B, C, E","B, D, E","A, B, D, E","B, C, E",Medium,2020,ScientistEngineer SC Computer
230,Discrete Mathematics,Logic,"Let p ∈ {8,9,10,11,12}, q = not a composite number, r = a square number, s = a prime number. Evaluate ~((p − ~q) ∧ (~r ∨ ~s)).","{9,11}","{8,9,10,11,12}",{9},{11},{11},Medium,2020,ScientistEngineer SC Computer
231,Artificial Intelligence,Search,Which search uses problem-specific knowledge beyond the definition of the problem?,Informed search,Iterative deepening search,Both,Breadth-first search,Informed search,Easy,2020,ScientistEngineer SC Computer
232,Machine Learning,Backpropagation,Which of the following statements are true for benefits of using backpropagation algorithm to compute gradients?,Only I,II and III,I and IV,Only II,I and IV,Medium,2020,ScientistEngineer SC Computer
233,Machine Learning,KNN,"In terms of bias-variance decomposition, a 1-nearest neighbour classifier has ______ than a 3-nearest neighbour classifier.",Higher variance,Higher bias,Lower variance,Lower bias,Higher variance and lower bias,Medium,2020,ScientistEngineer SC Computer
234,Machine Learning,Bayesian Learning,"If the posterior distribution has the same distribution family as the prior, the term describing this condition is called:",Subjugate prior,Conjugate posterior,Conjugate prior,Alternate prior,Conjugate prior,Easy,2020,ScientistEngineer SC Computer
235,Machine Learning,Kernel Methods,"For feature map Φ(.) and kernel function k(Xi,Xj)=⟨Φ(Xi),Φ(Xj)⟩, which statements are true? I. Kernel trick avoids explicit computation of Φ(Xi) II. Running time does not depend on dimension of feature space",I only,II only,Both I and II,None,Both I and II,Medium,2020,ScientistEngineer SC Computer
